antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'body pain', 'vomiting', 'vision'})",frozenset({'headache'}),0.009947240756335787,0.010803768723053558,0.009947240756335787,1.0,92.56029313790806,0.009839773067771803,inf
"frozenset({'headache', 'body pain'})","frozenset({'vomiting', 'vision'})",0.009947240756335787,0.01982250437261126,0.009947240756335787,1.0,50.447712418300654,0.009750061532947904,inf
"frozenset({'headache', 'body pain'})",frozenset({'vision'}),0.009947240756335787,0.021298035743847754,0.009947240756335787,1.0,46.95268671848598,0.009735384067154688,inf
"frozenset({'headache', 'body pain', 'vomiting'})",frozenset({'vision'}),0.009947240756335787,0.021298035743847754,0.009947240756335787,1.0,46.95268671848598,0.009735384067154688,inf
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.08298244477553929,0.4023594106511772,0.08298244477553929,1.0,2.4853401549167278,0.04959367720125944,inf
"frozenset({'headache', 'vomiting', 'vision'})",frozenset({'body pain'}),0.009947240756335787,0.4023594106511772,0.009947240756335787,1.0,2.4853401549167278,0.005944874828011149,inf
"frozenset({'headache', 'body pain'})",frozenset({'vomiting'}),0.009947240756335787,0.4266732885635522,0.009947240756335787,1.0,2.3437136253985393,0.005703018830696601,inf
"frozenset({'headache', 'body pain', 'vision'})",frozenset({'vomiting'}),0.009947240756335787,0.4266732885635522,0.009947240756335787,1.0,2.3437136253985393,0.005703018830696601,inf
frozenset({'cramp'}),frozenset({'abdominal pain'}),0.020830184333455695,0.3023471745373669,0.0208085911914376,0.9989633724948168,3.3040274777608527,0.014510643813124745,673.0024256295891
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.02085177747547379,0.3023471745373669,0.02064304376929887,0.989989644459786,3.2743472664317346,0.01433856776550746,69.69311156431893
"frozenset({'headache', 'vomiting'})","frozenset({'body pain', 'vision'})",0.010055206466426263,0.01012718360648658,0.009947240756335787,0.9892627057981388,97.68389161666867,0.009845409834249157,92.19015496678193
"frozenset({'headache', 'vomiting'})",frozenset({'vision'}),0.010055206466426263,0.021298035743847754,0.009947240756335787,0.9892627057981388,46.44854190762177,0.009733084609602071,91.14977627105571
"frozenset({'headache', 'vomiting'})",frozenset({'body pain'}),0.010055206466426263,0.4023594106511772,0.009947240756335787,0.9892627057981388,2.4586543264816876,0.00590143380852861,55.660260221353326
"frozenset({'body pain', 'vision'})","frozenset({'headache', 'vomiting'})",0.01012718360648658,0.010055206466426263,0.009947240756335787,0.982231698649609,97.68389161666867,0.009845409834249157,55.71409298006929
"frozenset({'body pain', 'vision'})",frozenset({'headache'}),0.01012718360648658,0.010803768723053558,0.009947240756335787,0.982231698649609,90.91565395635318,0.009837829006835407,55.671963896266305
"frozenset({'body pain', 'vision'})",frozenset({'vomiting'}),0.01012718360648658,0.4266732885635522,0.009947240756335787,0.982231698649609,2.3020698154234407,0.0056262420230692636,32.26682731964314
"frozenset({'headache', 'vision'})","frozenset({'body pain', 'vomiting'})",0.010242347030583087,0.11328482074093268,0.009947240756335787,0.971187631763879,8.572972313606392,0.008786938309009758,30.775504880137746
