antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'body pain', 'vomiting', 'vision'})",frozenset({'headache'}),0.009678263144127649,0.011247711221553753,0.009678263144127649,1.0,88.90697674418605,0.009569404835156293,inf
"frozenset({'headache', 'body pain'})","frozenset({'vomiting', 'vision'})",0.009678263144127649,0.01883337692911326,0.009678263144127649,1.0,53.09722222222222,0.009495988766315147,inf
"frozenset({'headache', 'body pain'})",frozenset({'vision'}),0.009678263144127649,0.020795187025895893,0.009678263144127649,1.0,48.08805031446541,0.009477001851959679,inf
"frozenset({'headache', 'body pain', 'vomiting'})",frozenset({'vision'}),0.009678263144127649,0.020795187025895893,0.009678263144127649,1.0,48.08805031446541,0.009477001851959679,inf
frozenset({'cramp'}),frozenset({'abdominal pain'}),0.016479204812974105,0.2937483651582527,0.016479204812974105,1.0,3.404274265360641,0.011638465340054954,inf
"frozenset({'abdominal pain', 'vomiting'})",frozenset({'body pain'}),0.07441799633795448,0.39785508762751765,0.07441799633795448,1.0,2.5134779750164364,0.044810417883853315,inf
"frozenset({'headache', 'vomiting', 'vision'})",frozenset({'body pain'}),0.009678263144127649,0.39785508762751765,0.009678263144127649,1.0,2.5134779750164364,0.005827716912838569,inf
"frozenset({'headache', 'body pain'})",frozenset({'vomiting'}),0.009678263144127649,0.40962594820821346,0.009678263144127649,1.0,2.44125159642401,0.005713795426705755,inf
"frozenset({'headache', 'body pain', 'vision'})",frozenset({'vomiting'}),0.009678263144127649,0.40962594820821346,0.009678263144127649,1.0,2.44125159642401,0.005713795426705755,inf
"frozenset({'body pain', 'fever'})",frozenset({'abdominal pain'}),0.024718807219461156,0.2937483651582527,0.02445723253989014,0.9894179894179894,3.3682501990605282,0.01719612333051141,66.74077949254513
"frozenset({'headache', 'vomiting'})","frozenset({'body pain', 'vision'})",0.009809050483913158,0.009939837823698667,0.009678263144127649,0.9866666666666667,99.26385964912281,0.009580762773113078,74.25451216322274
"frozenset({'headache', 'vomiting'})",frozenset({'vision'}),0.009809050483913158,0.020795187025895893,0.009678263144127649,0.9866666666666667,47.446876310272536,0.009474282104768219,73.44036097305795
"frozenset({'headache', 'vomiting'})",frozenset({'body pain'}),0.009809050483913158,0.39785508762751765,0.009678263144127649,0.9866666666666667,2.479964935349551,0.005775682504307635,45.160868427936265
"frozenset({'body pain', 'vision'})","frozenset({'headache', 'vomiting'})",0.009939837823698667,0.009809050483913158,0.009678263144127649,0.9736842105263157,99.2638596491228,0.009580762773113078,37.627256081611186
"frozenset({'body pain', 'vision'})",frozenset({'headache'}),0.009939837823698667,0.011247711221553753,0.009678263144127649,0.9736842105263157,86.5673194614443,0.009566462718697608,37.57258697358084
"frozenset({'body pain', 'vision'})",frozenset({'vomiting'}),0.009939837823698667,0.40962594820821346,0.009678263144127649,0.9736842105263157,2.37700813336022,0.005606647650559217,22.43421396808782
"frozenset({'headache', 'vision'})","frozenset({'body pain', 'vomiting'})",0.010332199843055192,0.10410672246926497,0.009678263144127649,0.9367088607594937,8.99758285096368,0.008602611682569719,14.155113784985613
"frozenset({'headache', 'vision'})",frozenset({'body pain'}),0.010332199843055192,0.39785508762751765,0.009678263144127649,0.9367088607594937,2.3543970905217253,0.005567544870183901,9.51388961548522
"frozenset({'headache', 'vision'})",frozenset({'vomiting'}),0.010332199843055192,0.40962594820821346,0.009678263144127649,0.9367088607594937,2.2867420017136295,0.005445925986339411,9.327910018310227
frozenset({'headache'}),frozenset({'vision'}),0.011247711221553753,0.020795187025895893,0.010332199843055192,0.9186046511627907,44.173906684218224,0.010098301584589714,12.03023055939613
frozenset({'vision'}),frozenset({'vomiting'}),0.020795187025895893,0.40962594820821346,0.01883337692911326,0.9056603773584906,2.2109448420443867,0.010315128725463517,6.25796494899294
frozenset({'rash'}),frozenset({'vomiting'}),0.010855349202197228,0.40962594820821346,0.009809050483913158,0.9036144578313253,2.2059502377325395,0.0053624177738318445,6.1251307873397876
frozenset({'headache'}),frozenset({'vomiting'}),0.011247711221553753,0.40962594820821346,0.009809050483913158,0.8720930232558141,2.1289984852534976,0.005201696109612039,4.61565167764488
frozenset({'abdominal pain'}),frozenset({'body pain'}),0.2937483651582527,0.39785508762751765,0.2555584619408841,0.8699910952804986,2.1867034564479595,0.13868918038040742,4.631566689002035
frozenset({'headache'}),"frozenset({'body pain', 'vomiting', 'vision'})",0.011247711221553753,0.009678263144127649,0.009678263144127649,0.8604651162790697,88.90697674418604,0.009569404835156293,7.097305780800417
frozenset({'headache'}),"frozenset({'body pain', 'vision'})",0.011247711221553753,0.009939837823698667,0.009678263144127649,0.8604651162790697,86.5673194614443,0.009566462718697608,7.095431162263491
